Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,100,45.3675208
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,14,31.35047372
313.0,145.0,0.0,178.0,8.0,1002.0,689.0,28,41.05140104
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,14,33.08795324
388.6,97.1,0.0,157.9,12.1,852.1,925.7,7,34.90127512
249.1,0.0,98.75,158.11,12.8,987.76,889.01,28,30.84715624
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,100,35.34253976
323.7,282.8,0.0,183.8,10.3,942.7,659.9,7,49.80085148
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,14,38.60376124
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3011712
250.2,166.8,0.0,203.5,0.0,977.6,694.1,7,19.35014394
133.0,200.0,0.0,192.0,0.0,927.4,839.2,7,13.664035368
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,28,37.404073
491.0,26.0,123.0,201.0,3.93,822.0,699.0,56,61.85584685418796
149.0,139.0,109.0,193.0,6.0,892.0,780.0,28,23.69039536
212.0,141.3,0.0,203.5,0.0,973.4,750.0,28,33.003837168
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,28,31.64005364
339.0,0.0,0.0,185.0,0.0,1060.0,754.0,28,31.6469484
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,14,25.3727168
296.0,0.0,107.0,221.0,11.0,819.0,778.0,28,31.41942132
505.0,0.0,60.0,195.0,0.0,1030.0,630.0,28,64.0178466
387.0,20.0,94.0,157.0,14.32,938.0,845.0,28,50.23522136
321.0,164.0,0.0,190.0,5.0,870.0,774.0,28,57.21271848
152.0,0.0,112.0,184.0,8.0,992.0,816.0,28,12.17614616
385.0,0.0,136.0,158.0,20.0,903.0,768.0,28,55.55108132
233.81,0.0,94.58,197.89,4.567,947.04,852.16,56,27.66177712
331.0,0.0,0.0,192.0,0.0,879.0,825.0,3,13.52062436
393.0,0.0,0.0,192.0,0.0,940.0,758.0,3,19.10537996
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7,14.58931216
116.0,173.0,0.0,192.0,0.0,909.8,891.9,3,6.280436883999999
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,56,31.715896
302.0,0.0,0.0,203.0,0.0,974.0,817.0,28,21.7529678
307.0,0.0,0.0,193.0,0.0,968.0,812.0,90,32.922479
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,7,13.71367764
222.36,0.0,96.67,189.29,4.46,967.08,870.32,3,11.57630204
203.5,305.3,0.0,203.5,0.0,963.4,630.0,90,51.863763672
190.0,190.0,0.0,228.0,0.0,932.0,670.0,270,50.655112244
252.5,0.0,0.0,185.7,0.0,1111.6,784.3,28,19.765208492
425.0,106.3,0.0,151.4,18.6,936.0,803.7,7,46.80163088
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.052779992
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.421479776
339.0,0.0,0.0,197.0,0.0,968.0,781.0,3,13.22414968
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.89581932
156.0,178.0,187.0,221.0,7.0,854.0,614.0,28,29.41304616
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,100,37.9556538
389.9,189.0,0.0,145.9,22.0,944.7,755.8,28,74.4978818
166.8,250.2,0.0,203.5,0.0,975.6,692.6,3,6.902344236
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,14,21.50475644
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,3,15.04436632
144.0,136.0,106.0,178.0,7.0,941.0,774.0,28,26.14492992
261.9,110.5,86.1,195.4,5.0,895.2,732.6,28,33.71882378
333.0,0.0,0.0,192.0,0.0,931.2,842.6,90,41.680203152
272.8,181.9,0.0,185.7,0.0,1012.4,714.3,28,31.38150014
266.0,112.0,87.0,178.0,10.0,910.0,745.0,28,39.41734292
183.9,122.6,0.0,203.5,0.0,959.2,800.0,28,24.046164976
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,14,33.00521612
331.0,170.0,0.0,195.0,8.0,811.0,802.0,28,56.61287436
236.0,157.0,0.0,192.0,0.0,972.6,749.1,90,47.782065752
